ID,OBS_DATE,ASM,ASM_D11,ASM_D,ASM_D_D11,ASM_I,ASM_I_D11,RPM,RPM_D11,RPM_D,RPM_D_D11,RPM_I,RPM_I_D11,LOAD_FACTOR,LOAD_FACTOR_D11,LOAD_FACTOR_D,LOAD_FACTOR_D_D11,LOAD_FACTOR_I,LOAD_FACTOR_I_D11,ENPLANE_I,ENPLANE_I_D11,ENPLANE_D,ENPLANE_D_D11,ENPLANE,ENPLANE_D11,AIR_RPM_TSI,AIR_RPM_TSI_D11,AIR_RTMFM,AIR_RTMFM_D11,RAIL_FRT_CARLOADS,RAIL_FRT_CARLOADS_D11,RAIL_FRT_INTERMODAL,RAIL_FRT_INTERMODAL_D11,RAIL_PM,RAIL_PM_D11,TRANSIT,TRANSIT_D11,PETROLEUM,PETROLEUM_D11,NATURAL_GAS,NATURAL_GAS_D11,WATERBORNE,WATERBORNE_D11,TRUCK_D11,VMT,VMT_D11,TSI_Freight,TSI_Freight_C,TSI_Passenger,TSI_Passenger_C,TSI_Total,TSI_Total_C,IND_PRO,MANUF,INV_TO_SALES,IDX_AIR_RPM,IDX_AIR_RTMFM,IDX_RAIL_FRT_CARLOADS,IDX_RAIL_FRT_INTERMODAL,IDX_RAIL_PM,IDX_TRANSIT_D11,IDX_PETROLEUM_D11,IDX_NATURAL_GAS_D11,IDX_WATERBORNE_D11,IDX_TRUCK_D11
SATD200001,01/01/2000,76146639,77912032,56288872,57555974,19857767,20356058,48263245,53690489,34913749,39514500,13349496,14175989,63.4,68.9,62,68.7,67.2,69.6,4952,5184,41540,47823,46492,53007,49843099,55938277,2182683,2469220,1354273,1373725,702849,743659,366607410,445673943,724934,769534,215985,212544,2510.5,1811.5,48.4,55.4,79.9,203442,227235,104.8,,95.6,,101.9,,93.89987947682604,78.56197844360733,1.58,0.9485,0.9619,1.0152,1.0017,0.9565,0.9773,0.9499,0.966,1.1204,1.067
SATD200002,02/01/2000,73011377,78569910,54329819,57833010,18681558,20736900,48580127,55655557,36005847,40663398,12574280,14992159,66.5,70.8,66.3,70.3,67.3,72.3,4812,5444,43714,48563,48526,54007,49931931,57630411,2341123,2528683,1296439,1368790,690991,745980,366139276,444441224,756536,770010,210132,227521,2330.7,1841.2,42,48.6,79,199261,228727,103.6,-1.2,97.7,2.2,101.7,-0.2,94.22377063875552,75.7489446425456,1.56,0.9772,0.985,1.0116,1.0048,0.9539,0.9779,1.0168,0.9818,0.9844,1.055
SATD200003,03/01/2000,80308529,79327473,59913798,58404446,20394731,20923027,59632014,56835729,43901516,41263134,15730498,15572595,74.3,71.6,73.3,70.7,77.1,74.4,5787,5551,52977,48826,58764,54377,61478163,58624496,2699632,2495957,1404269,1363006,749444,746274,453096388,454898583,843730,786159,216833,219834,2050.6,1721,52.5,52.5,74.7,232490,230237,99.7,-3.8,99.5,1.8,99.6,-2,94.59203889613488,77.84212162345602,1.54,0.9941,0.9723,1.0073,1.0052,0.9763,0.9984,0.9824,0.9178,1.0619,0.9972
SATD200004,04/01/2000,78139993,79328391,57402637,58373758,20737356,20954632,57636732,57839048,41954244,41804752,15682488,16034297,73.8,72.9,73.1,71.6,75.6,76.5,5688,5700,50344,49810,56032,55511,58981617,58951428,2528558,2550130,1341461,1354922,727542,743230,473751011,466784737,757458,777181,219340,222283,1783.3,1841.3,52.2,50.8,72.4,227698,229068,97.8,-1.9,99.6,0.1,98.4,-1.3,95.19082151043456,79.19093412398094,1.59,0.9996,0.9934,1.0014,1.0011,1.0018,0.987,0.9934,0.9819,1.0289,0.9668
SATD200005,05/01/2000,80515093,79089326,58896522,58179479,21618571,20909846,59749900,58954744,43168824,42623261,16581076,16331483,74.2,74.5,73.3,73.3,76.7,78.1,5892,5832,52309,50303,58201,56135,61223861,60902151,2528225,2522094,1393416,1359065,752142,741979,481725263,474377522,818246,783454,225649,218908,1632.9,1971.1,53.5,52.5,73.1,242501,229651,98.8,1.1,102.2,2.6,99.9,1.6,95.4669456599006,77.80090419488033,1.59,1.0327,0.9825,1.0044,0.9994,1.0181,0.995,0.9783,1.0512,1.063,0.9765
SATD200006,06/01/2000,80393854,79021666,58286914,57721493,22106940,21300173,64046964,58279890,45856363,41945032,18190601,16334858,79.7,73.8,78.7,72.7,82.3,76.7,6400,5736,54673,49330,61073,55066,65601574,59468834,2537148,2517168,1343794,1346753,742018,733933,517102460,458127821,793911,788351,225621,220758,1513.1,1881.4,50.4,48.5,75.1,242963,230024,99.8,1,100.6,-1.6,100.1,0.2,95.53587397250912,79.04299697493097,1.59,1.0084,0.9806,0.9953,0.9886,0.9832,1.0012,0.9866,1.0033,0.9822,1.0029
SATD200007,07/01/2000,83853711,78992617,60607052,57684504,23246659,21308113,66435577,58231049,47303803,41767985,19131774,16463064,79.2,73.7,78,72.4,82.3,77.3,7014,5821,55568,50250,62582,56071,67898320,58853524,2461623,2477568,1330434,1353621,738911,735582,564747276,471892436,743746,784723,228889,222411,1525.6,1739.5,53.3,49.6,72.8,245140,228840,97.6,-2.2,99.8,-0.8,98.3,-1.8,95.36689174562235,78.27791238180203,1.61,0.998,0.9651,1.0004,0.9908,1.0128,0.9966,0.994,0.9276,1.0038,0.9726
SATD200008,08/01/2000,84702734,79324759,61479288,57933087,23223446,21391672,65252958,57197021,46457758,40830934,18795200,16366087,77,72.1,75.6,70.5,80.9,76.5,6881,5911,54474,50299,61355,56210,67028338,58783421,2623412,2567846,1423542,1354961,792621,734988,558060051,476411416,787064,785514,231542,225260,1653.1,1851.3,50.9,48.3,74.7,247832,229339,99.7,2.1,99.8,0,99.7,1.4,95.11388066670314,77.19467379945115,1.61,0.9968,1.0003,1.0014,0.99,1.0225,0.9976,1.0067,0.9873,0.9779,0.9977
SATD200009,09/01/2000,79912506,81497327,57899315,59912127,22013191,21585200,55470176,60234578,38372644,43113692,17097532,17120886,69.4,73.9,66.3,72,77.7,79.3,5859,6432,46363,52284,52222,58716,56441629,61520709,2711279,2761077,1381834,1371644,768195,744494,446489429,481211797,802516,794439,222945,225376,1475,1859.3,47.3,48.5,74,227899,231166,99.7,0.1,103.4,3.6,100.9,1.2,95.5162535437338,79.33820288229725,1.59,1.0432,1.0756,1.0137,1.0028,1.0328,1.0089,1.0072,0.9915,0.9816,0.9885
SATD200010,10/01/2000,82627553,81122443,60761374,59395880,21866179,21726563,57979416,59453651,41820446,42644041,16158970,16809610,70.2,73.3,68.8,71.8,73.9,77.4,5635,6210,50920,51681,56555,57890,58834210,59904584,2839068,2641932,1442723,1351187,837316,760866,462329685,486288465,851255,800975,234903,234219,1567.8,1874.1,50.8,47.8,74.2,236491,230372,99.5,-0.2,101.7,-1.7,100.2,-0.7,95.16421579811622,77.69908600645287,1.61,1.0158,1.0292,0.9986,1.0249,1.0437,1.0172,1.0467,0.9994,0.968,0.9903
